Sueldo,CCAA
74232.9,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
70326.06,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
66189.2,Castilla La Mancha
70326.06,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
70326.06,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
70326.06,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
70326.06,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
70326.06,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
74232.9,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
70326.06,Castilla La Mancha
66189.2,Castilla La Mancha
66189.2,Castilla La Mancha
62052.34,Castilla La Mancha
62052.34,Castilla La Mancha
66189.2,Castilla La Mancha
66189.2,Castilla La Mancha
