Sueldo,CCAA
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
64985.66,Gobierno De Asturias
55736.44,Gobierno De Asturias
48836.78,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
64985.66,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
64985.66,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
64985.66,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
64985.66,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
64985.66,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
64985.66,Gobierno De Asturias
55736.44,Gobierno De Asturias
53346.74,Gobierno De Asturias
64985.66,Gobierno De Asturias
55736.44,Gobierno De Asturias
64985.66,Gobierno De Asturias
55736.44,Gobierno De Asturias
64985.66,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
53346.74,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
64985.66,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
55736.44,Gobierno De Asturias
