Sueldo,CCAA
68965,Gobierno De Canarias
60403.43,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
66736.4,Gobierno De Canarias
60403.43,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
60403.43,Gobierno De Canarias
59659.87,Gobierno De Canarias
60403.43,Gobierno De Canarias
59659.87,Gobierno De Canarias
60403.43,Gobierno De Canarias
59659.87,Gobierno De Canarias
49200.45,Gobierno De Canarias
60403.43,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
89808.55,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
66736.4,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
66736.4,Gobierno De Canarias
59659.87,Gobierno De Canarias
66736.4,Gobierno De Canarias
46824.51,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
66736.4,Gobierno De Canarias
49200.45,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
60403.43,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
66736.4,Gobierno De Canarias
59659.87,Gobierno De Canarias
60403.43,Gobierno De Canarias
60403.43,Gobierno De Canarias
59659.87,Gobierno De Canarias
60403.43,Gobierno De Canarias
74447.03,Gobierno De Canarias
49200.45,Gobierno De Canarias
54687.28,Gobierno De Canarias
59659.87,Gobierno De Canarias
60403.43,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
75722.47,Gobierno De Canarias
60403.43,Gobierno De Canarias
59659.87,Gobierno De Canarias
54687.28,Gobierno De Canarias
60403.43,Gobierno De Canarias
66736.4,Gobierno De Canarias
59659.87,Gobierno De Canarias
60403.43,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
66736.4,Gobierno De Canarias
66736.4,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
60403.43,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
60403.43,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
66736.4,Gobierno De Canarias
59659.87,Gobierno De Canarias
60403.43,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
59659.87,Gobierno De Canarias
