Sueldo,CCAA
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
65188.62,Gobierno De Navarra
65188.62,Gobierno De Navarra
55855.66,Gobierno De Navarra
65983.96,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
65188.62,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
54574.38,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
86299.92,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
65188.62,Gobierno De Navarra
65188.62,Gobierno De Navarra
65188.62,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
55855.66,Gobierno De Navarra
65188.62,Gobierno De Navarra
55855.66,Gobierno De Navarra
65188.62,Gobierno De Navarra
55855.66,Gobierno De Navarra
76163.64,Gobierno De Navarra
55855.66,Gobierno De Navarra
86299.92,Gobierno De Navarra
