Sueldo,CCAA
55812.16,JUNTA DE ANDALUCÍA
47344.86,JUNTA DE ANDALUCÍA
53243.94,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
66992.8,JUNTA DE ANDALUCÍA
58343.94,JUNTA DE ANDALUCÍA
59213.91,JUNTA DE ANDALUCÍA
67971.04,JUNTA DE ANDALUCÍA
47344.86,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
58430.94,JUNTA DE ANDALUCÍA
47344.86,JUNTA DE ANDALUCÍA
78280.5,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
65184,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
71988.16,JUNTA DE ANDALUCÍA
48634.52,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
61138.38,JUNTA DE ANDALUCÍA
47344.86,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
55914.66,JUNTA DE ANDALUCÍA
65184.2,JUNTA DE ANDALUCÍA
76259.5,JUNTA DE ANDALUCÍA
59174,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
65184,JUNTA DE ANDALUCÍA
50510.69,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
72028.36,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
48634.52,JUNTA DE ANDALUCÍA
61749.77,JUNTA DE ANDALUCÍA
69544.24,JUNTA DE ANDALUCÍA
61749.89,JUNTA DE ANDALUCÍA
47344.86,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
52464.78,JUNTA DE ANDALUCÍA
75397.74,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
65184,JUNTA DE ANDALUCÍA
57048.06,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
78280.5,JUNTA DE ANDALUCÍA
75828.18,JUNTA DE ANDALUCÍA
47344.86,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
71018.2,JUNTA DE ANDALUCÍA
56717.46,JUNTA DE ANDALUCÍA
76190.75,JUNTA DE ANDALUCÍA
78074.82,JUNTA DE ANDALUCÍA
65184.2,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
68581.48,JUNTA DE ANDALUCÍA
59799.4,JUNTA DE ANDALUCÍA
67936.6,JUNTA DE ANDALUCÍA
47344.86,JUNTA DE ANDALUCÍA
65184.2,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
47344.86,JUNTA DE ANDALUCÍA
61749.79,JUNTA DE ANDALUCÍA
47344.86,JUNTA DE ANDALUCÍA
47344.86,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
74273.7,JUNTA DE ANDALUCÍA
56735.3,JUNTA DE ANDALUCÍA
57438.06,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
65184.2,JUNTA DE ANDALUCÍA
61749.89,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
70812.16,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
55812.16,JUNTA DE ANDALUCÍA
47344.86,JUNTA DE ANDALUCÍA
81639.8,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
61824.9,JUNTA DE ANDALUCÍA
