Sueldo,CCAA
64243.9,Junta De Castilla Y León
67522.2,Junta De Castilla Y León
71483.32,Junta De Castilla Y León
57332.62,Junta De Castilla Y León
73331.66,Junta De Castilla Y León
59636.38,Junta De Castilla Y León
62516.08,Junta De Castilla Y León
62032.78,Junta De Castilla Y León
60492.94,Junta De Castilla Y León
79091.06,Junta De Castilla Y León
64602.24,Junta De Castilla Y León
64327.64,Junta De Castilla Y León
79091.06,Junta De Castilla Y León
67522.2,Junta De Castilla Y León
71554,Junta De Castilla Y León
73266.84,Junta De Castilla Y León
61940.14,Junta De Castilla Y León
61940.14,Junta De Castilla Y León
85334.16,Junta De Castilla Y León
62636.82,Junta De Castilla Y León
70927.55,Junta De Castilla Y León
59589.26,Junta De Castilla Y León
80945,Junta De Castilla Y León
60788.26,Junta De Castilla Y León
72297.2,Junta De Castilla Y León
72705.66,Junta De Castilla Y León
57332.62,Junta De Castilla Y León
57332.62,Junta De Castilla Y León
61364,Junta De Castilla Y León
79091.06,Junta De Castilla Y León
62760.53,Junta De Castilla Y León
72374.17,Junta De Castilla Y León
62629.97,Junta De Castilla Y León
64819.84,Junta De Castilla Y León
64641.19,Junta De Castilla Y León
72531.58,Junta De Castilla Y León
60988.3,Junta De Castilla Y León
57332.62,Junta De Castilla Y León
62006.52,Junta De Castilla Y León
59312.07,Junta De Castilla Y León
73857.54,Junta De Castilla Y León
57332.62,Junta De Castilla Y León
70977.84,Junta De Castilla Y León
57332.62,Junta De Castilla Y León
90313.36,Junta De Castilla Y León
57332.62,Junta De Castilla Y León
70684.08,Junta De Castilla Y León
62197.78,Junta De Castilla Y León
86088.84,Junta De Castilla Y León
89570.48,Junta De Castilla Y León
57332.62,Junta De Castilla Y León
63599.5,Junta De Castilla Y León
70977.84,Junta De Castilla Y León
61652.17,Junta De Castilla Y León
62032.78,Junta De Castilla Y León
69760.66,Junta De Castilla Y León
73883.12,Junta De Castilla Y León
81188.3,Junta De Castilla Y León
73463.8,Junta De Castilla Y León
63599.5,Junta De Castilla Y León
62585.12,Junta De Castilla Y León
72618.62,Junta De Castilla Y León
70977.84,Junta De Castilla Y León
61364.2,Junta De Castilla Y León
59032.22,Junta De Castilla Y León
62023.88,Junta De Castilla Y León
71637.46,Junta De Castilla Y León
76930.22,Junta De Castilla Y León
63274.2,Junta De Castilla Y León
99185.46,Junta De Castilla Y León
62555.02,Junta De Castilla Y León
72705.66,Junta De Castilla Y León
67522.2,Junta De Castilla Y León
71553.78,Junta De Castilla Y León
82117.1,Junta De Castilla Y León
60788.26,Junta De Castilla Y León
61364,Junta De Castilla Y León
63667.96,Junta De Castilla Y León
