Nombre,CCAA,Sueldo
Sueldo de Abel Benito Veiga Copo, (Xunta De Galicia), 52.306 
Sueldo de Abel Morales RodrÃ­guez, (Gobierno De Canarias)," 60.403,43 "
Sueldo de Abelardo de La Rosa DÃ­az, (JUNTA DE ANDALUCÃA)," 55.812,16 "
Sueldo de Abraham Luis CÃ¡rdenes GonzÃ¡lez, (Gobierno De Canarias)," 59.659,87 "
Sueldo de Adela MartÃ­nez-CachÃ¡ MartÃ­nez, (Gobierno De Murcia)," 71.112,66 "
Sueldo de Adolfo Ezquerra Canalejo, (Comunidad De Madrid), 93.855 
Sueldo de Adolfo Morais Ezquerro, (Gobierno Vasco)," 79.460,57 "
Sueldo de Adolfo Moreno Carrera, (JUNTA DE ANDALUCÃA)," 47.344,86 "
Sueldo de AdriÃ¡n Gimeno Redrado, (Gobierno De AragÃ³n)," 64.743,72 "
Sueldo de Agapito Portillo SÃ¡nchez, (Castilla La Mancha)," 66.189,2 "
Sueldo de AgustÃ­ Paris Roig, (Generalitat De Catalunya)," 82.209,94 "
Sueldo de AgustÃ­ Serra Monte, (Generalitat De Catalunya)," 85.769,1 "
Sueldo de AgustÃ­n Ãlvarez Nogal, (Junta De Castilla Y LeÃ³n)," 64.243,9 "
Sueldo de AgustÃ­n Gastaminza Oiz, (Gobierno De Navarra)," 55.855,66 "
Sueldo de Aitana Joana Mas Mas, (Generalitat Valenciana)," 64.415,45 "
Sueldo de Aitor Etxebarria Atutxa, (Gobierno Vasco)," 67.757,9 "
Sueldo de Aitor Garitano Trojaola, (Gobierno Vasco)," 67.757,9 "
Sueldo de Aitor Mikel Uriarte Unzalu, (Gobierno Vasco)," 67.757,9 "
Sueldo de Aitor Patxi Oregi Bazterrika, (Gobierno Vasco)," 67.757,9 "
Sueldo de Aitor Urzelai Inza, (Gobierno Vasco)," 67.757,9 "
Sueldo de Aitor Zulueta Telleria, (Gobierno Vasco)," 67.757,9 "
Sueldo de Aitziber Atorrasagasti Calcedo, (Gobierno Vasco)," 67.757,9 "
Sueldo de Aitziber Beldarrain Robles, (Gobierno Vasco)," 67.757,9 "
Sueldo de Alba Ascension Urresola Clavero, (Gobierno Vasco)," 67.757,9 "
Sueldo de Alba Balcells Barril, (Generalitat De Catalunya)," 62.154,26 "
Sueldo de Albert Alins Abad, (Generalitat De Catalunya)," 82.209,94 "
Sueldo de Albert Barbera Lluis, (Generalitat De Catalunya)," 82.209,94 "
